,allInPings,assistMePings,assists,baronKills,basicPings,bountyLevel,challenges,champExperience,champLevel,championId,championName,championTransform,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,eligibleForProgression,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,getBackPings,goldEarned,goldSpent,holdPings,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,missions,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,participantId,pentaKills,perks,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,placement,playerAugment1,playerAugment2,playerAugment3,playerAugment4,playerScore0,playerScore1,playerScore10,playerScore11,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,playerSubteamId,profileIcon,pushPings,puuid,quadraKills,riotIdGameName,riotIdTagline,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,subteamPlacement,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerId,summonerLevel,summonerName,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
killsUnderOwnTurret,1,17,10,0,0,0,1,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
killsWithHelpFromEpicMonster,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
knockEnemyIntoTeamAndKill,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
landSkillShotsEarlyGame,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
laneMinionsFirst10Minutes,1,17,10,0,0,0,49,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
laningPhaseGoldExpAdvantage,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
legendaryCount,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
legendaryItemUsed,1,17,10,0,0,0,"[3115, 6653, 3165]",18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
lostAnInhibitor,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
maxCsAdvantageOnLaneOpponent,1,17,10,0,0,0,26,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
maxKillDeficit,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
maxLevelLeadLaneOpponent,1,17,10,0,0,0,2,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
mejaisFullStackInTime,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
moreEnemyJungleThanOpponent,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
multiKillOneSpell,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
multiTurretRiftHeraldCount,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
multikills,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
multikillsAfterAggressiveFlash,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
outerTurretExecutesBefore10Minutes,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
outnumberedKills,1,17,10,0,0,0,2,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
outnumberedNexusKill,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
perfectDragonSoulsTaken,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
perfectGame,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
pickKillWithAlly,1,17,10,0,0,0,10,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
playedChampSelectPosition,1,17,10,0,0,0,1,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
poroExplosions,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
quickCleanse,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
